TestName,AgentCount,ObstacleCount,UpdateRate,TestDuration,AverageFPS,MinFPS,MaxFPS,AverageFrameTime,MinFrameTime,MaxFrameTime,AverageMemoryMB,PeakMemoryMB,AverageCpuUsage,MaxCpuUsage,AverageMainThreadTime,AverageRenderThreadTime,AverageGPUTime,AverageGfxMemoryMB,AverageDrawCalls,AverageTriangles,AverageVertices
AgentScaling_10,10,0,0.000,5.58,507.74,8.54,851.52,5.01,1.17,117.16,346.00,349.00,18.06,24.54,5.01,1.70,2.39,215.00,20,3840,1940
AgentScaling_100,100,0,0.000,5.85,514.68,7.61,640.00,4.12,1.56,131.45,347.00,348.00,18.46,22.04,4.12,2.34,5.49,215.00,110,38400,19400
AgentScaling_200,200,0,0.000,5.94,369.41,8.43,523.24,5.38,1.91,118.60,347.00,349.00,19.33,25.89,5.38,3.71,9.83,215.00,210,76800,38800
AgentScaling_400,400,0,0.000,6.00,255.56,8.26,385.13,6.25,2.60,121.07,347.00,348.00,18.87,26.22,6.25,5.98,17.86,215.00,410,153600,77600
AgentScaling_600,600,0,0.000,5.57,190.33,1.95,280.42,22.23,3.57,512.98,347.00,348.00,19.35,31.37,22.23,12.77,31.93,215.00,610,230400,116400
AgentScaling_1000,1000,0,0.000,5.87,174.17,7.65,207.19,7.51,4.83,130.78,349.00,350.00,22.67,28.07,7.51,12.35,41.41,215.00,1010,384000,194000
AgentScaling_1500,1500,0,0.000,5.98,131.81,7.67,155.83,9.69,6.42,130.32,350.00,351.00,23.77,28.99,9.69,18.01,61.48,215.00,1510,576000,291000
AgentScaling_2000,2000,0,0.000,5.91,110.98,5.08,127.19,11.54,7.86,196.86,353.00,353.00,25.17,27.85,11.54,23.56,81.42,215.00,2010,768000,388000
AgentScaling_5000,5000,0,0.000,5.94,52.71,7.03,62.22,21.13,16.07,142.33,363.00,363.00,27.36,29.37,21.13,56.44,200.45,221.00,5010,1920000,970000
AgentScaling_10000,10000,0,0.000,5.87,27.07,6.56,33.75,39.37,29.63,152.55,384.00,384.00,28.06,29.26,39.37,111.91,399.75,239.00,10010,3840000,1940000
StaticObstacles_10_Agents600,600,10,0.000,5.98,276.06,8.24,323.56,5.28,3.09,121.29,354.00,355.00,23.21,29.37,5.28,7.78,25.16,215.00,620,230520,116640
StaticObstacles_25_Agents600,600,25,0.000,5.79,273.84,8.18,311.57,6.03,3.21,122.25,355.00,356.00,25.00,29.39,6.03,8.16,25.48,215.00,635,230700,117000
StaticObstacles_50_Agents600,600,50,0.000,5.97,261.91,8.17,340.88,6.97,2.93,122.37,355.00,357.00,27.52,31.38,6.97,8.69,25.89,215.00,660,231000,117600
StaticObstacles_100_Agents600,600,100,0.000,5.98,263.62,8.16,296.01,5.51,3.38,122.55,356.00,358.00,28.88,32.38,5.51,8.75,25.37,215.00,710,231600,118800
StaticObstacles_200_Agents600,600,200,0.000,5.97,240.18,7.92,281.84,6.67,3.55,126.20,357.00,359.00,29.25,32.63,6.67,10.10,25.95,215.00,810,232800,121200
DynamicObstacles_10_Agents600,600,10,0.000,5.99,300.41,8.05,358.50,5.53,2.79,124.18,357.00,359.00,24.22,28.69,5.53,7.86,25.27,215.00,620,230520,116640
DynamicObstacles_25_Agents600,600,25,0.000,5.44,271.50,8.19,330.32,5.79,3.03,122.04,358.00,360.00,23.38,28.55,5.79,8.09,25.38,215.00,635,230700,117000
DynamicObstacles_50_Agents600,600,50,0.000,5.83,229.04,2.53,288.35,17.04,3.47,395.61,358.00,360.00,22.45,29.02,17.04,11.71,29.92,215.00,660,231000,117600
DynamicObstacles_100_Agents600,600,100,0.000,5.98,227.65,7.63,321.86,8.84,3.11,131.11,359.00,360.00,21.94,30.50,8.84,9.75,26.70,215.00,710,231600,118800
DynamicObstacles_200_Agents600,600,200,0.000,5.91,257.88,8.23,330.19,5.72,3.03,121.52,360.00,361.00,22.60,30.81,5.72,9.81,25.57,215.00,810,232800,121200
AgentsWithMovingObstacles_200,200,50,0.000,5.91,441.00,2.52,529.04,12.54,1.89,396.12,363.00,381.00,18.95,25.42,12.54,6.36,12.76,215.00,260,77400,40000
AgentsWithMovingObstacles_500,500,50,0.000,5.96,305.97,8.20,353.51,5.25,2.83,121.88,381.00,382.00,22.70,29.47,5.25,7.17,21.36,215.00,560,192600,98200
AgentsWithMovingObstacles_1000,1000,50,0.000,5.98,185.58,7.80,225.14,7.28,4.44,128.25,382.00,383.00,23.87,28.85,7.28,12.79,41.37,215.00,1060,384600,195200
AgentsWithMovingObstacles_2000,2000,50,0.000,5.75,116.57,7.60,155.47,12.74,6.43,131.51,387.00,387.00,24.01,29.71,12.74,24.42,81.96,215.00,2060,768600,389200
AgentsWithMovingObstacles_5000,5000,50,0.000,5.91,52.85,2.47,62.78,29.48,15.93,404.12,397.00,397.00,26.52,35.51,29.48,59.44,203.85,219.00,5060,1920600,971200
